ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor;;
Volendammer Vishandel C. Schilder V.O.F.;114948;486187;75;Fish shop;1,5;2,8;4,2;;
Volendammer Vishandel Leliveld;123002;491211;77;Fish shop;1,5;2,8;4,2;;
Atouli exotic fish;126989;478671;77;Fish shop;1,5;2,8;4,2;;
IJmuider Vishandel Amstelveenseweg V.O.F.;118816;485015;78;Fish shop;1,5;2,8;4,2;;
Vishandel Haring Naatje;125881;489044;79;Fish shop;1,5;2,8;4,2;;
Volendammer Vishandel Tussenmeer V.O.F.;115101;485760;84;Fish shop;1,5;2,8;4,2;;
Vis Mediteranee West;115824;487668;85;Fish shop;1,5;2,8;4,2;;
Canarische Viswinkel;116402;487915;85;Fish shop;1,5;2,8;4,2;;
Vis op Zuid;121480;484409;86;Fish shop;1,5;2,8;4,2;;
El pescado visspecial. & vis restaur. W. B.V.;117777;486165;89;Fish shop;1,5;2,8;4,2;;
Fish House B.V.;121328;487676;89;Fish shop;1,5;2,8;4,2;;
Cap De Leau;124157;486315;90;Fish shop;1,5;2,8;4,2;;
Vishandel Peter Tol;124354;487459;100;Fish shop;1,5;2,8;4,2;;
Vishandel Rinkoen;124276;486059;100;Fish shop;1,5;2,8;4,2;;
DimaDima;126714;481753;105;Fish shop;1,5;2,8;4,2;;
Viswinkel Martil;125627;489555;109;Fish shop;1,5;2,8;4,2;;
Vishandel Topvis Amsterdam;114033;484801;110;Fish shop;1,5;2,8;4,2;;
Viswinkel IJburg;127967;485698;116;Fish shop;1,5;2,8;4,2;;
Viscenter Volendam;119581;486553;120;Fish shop;1,5;2,8;4,2;;
Haringhandel Nijhuis;120693;487455;124;Fish shop;1,5;2,8;4,2;;
Atouli Seafood & Tropical Food;127055;481007;318;Fish shop;1,5;2,8;4,2;;
Japin V.O.F.;119619;482045;0;Green grocer;0,5;4,8;2,4;;
Jan Leegwater;119288;484325;0;Green grocer;0,5;4,8;2,4;;
Surinam Food Impex;123011;491207;0;Green grocer;0,5;4,8;2,4;;
Dutch Vegetable Beheer B.V.;119330;488185;0;Green grocer;0,5;4,8;2,4;;
Fresh & Delicious B.V.;114668;485345;0;Green grocer;0,5;4,8;2,4;;
Öncü Market;122255;490337;0;Green grocer;0,5;4,8;2,4;;
H.H. de Graaf V.O.F.;121490;484515;25;Green grocer;0,5;4,8;2,4;;
Place des Légumes;124797;489312;26;Green grocer;0,5;4,8;2,4;;
Traiterie Chef;121046;487036;29;Green grocer;0,5;4,8;2,4;;
Erdim AGF;122670;485076;29;Green grocer;0,5;4,8;2,4;;
Birlik Im- en Export;123342;485349;30;Green grocer;0,5;4,8;2,4;;
J. Doodeman Groente & Fruit;119168;485857;31;Green grocer;0,5;4,8;2,4;;
J. Brouwer;121083;486267;35;Green grocer;0,5;4,8;2,4;;
Kamman Fruit Primeurs;120228;484641;38;Green grocer;0,5;4,8;2,4;;
Seyba Klavertje Drie;121445;484283;40;Green grocer;0,5;4,8;2,4;;
Lob Douiri Groente & Fruit;121188;491807;40;Green grocer;0,5;4,8;2,4;;
Tuk Tuk Thai;120596;487453;42;Green grocer;0,5;4,8;2,4;;
C.B. Wessels Jr.;118967;485015;45;Green grocer;0,5;4,8;2,4;;
Marco's Groentespeciaalzaak;118641;487116;46;Green grocer;0,5;4,8;2,4;;
Aardbei Amsterdam B.V.;121188;487565;46;Green grocer;0,5;4,8;2,4;;
Groentezaak Kaur Zaan;120767;491991;48;Green grocer;0,5;4,8;2,4;;
Vork maasstraat;121521;484177;50;Green grocer;0,5;4,8;2,4;;
Paul Bosse Groente en Fruit;120740;488192;51;Green grocer;1;4,8;4,8;;
Demirel fresh Foods;119697;486600;52;Green grocer;1;4,8;4,8;;
Kader Market;118309;484976;53;Green grocer;1;4,8;4,8;;
Kardesler Groente & Fruit;120387;489305;54;Green grocer;1;4,8;4,8;;
Noor Groenten & Fruit;122484;485170;55;Green grocer;1;4,8;4,8;;
Vork Versservice;121672;486346;58;Green grocer;1;4,8;4,8;;
Roos Market;120373;487328;58;Green grocer;1;4,8;4,8;;
Olgun Groenten & Fruit;119359;486194;59;Green grocer;1;4,8;4,8;;
Juice Brothers B.V.;121056;487049;59;Green grocer;1;4,8;4,8;;
De Groentenier;119881;485340;60;Green grocer;1;4,8;4,8;;
Tess van Mourik B.V.;121305;485405;64;Green grocer;1;4,8;4,8;;
V.O.F. Ebbe;118613;484892;64;Green grocer;1;4,8;4,8;;
Groentewinkel Shopperhal;125526;480829;65;Green grocer;1;4,8;4,8;;
Yagmur AGF;116771;485393;65;Green grocer;1;4,8;4,8;;
Manu Asian Food Store;121995;485048;66;Green grocer;1;4,8;4,8;;
Uzun Market 2;122663;491021;69;Green grocer;1;4,8;4,8;;
Ozcan Versshop B.V.;115073;487944;69;Green grocer;1;4,8;4,8;;
Moeder Natuur;122242;484083;70;Green grocer;1;4,8;4,8;;
Hizmet Market;118599;486941;72;Green grocer;1;4,8;4,8;;
IJburgse Groentezaak;127299;486152;72;Green grocer;1;4,8;4,8;;
Serhat Market;119055;485893;72;Green grocer;1;4,8;4,8;;
V.O.F. 'n Sterk Staaltje;121619;486817;75;Green grocer;1;4,8;4,8;;
OZ Dostlar Gida Pazari;119269;487183;77;Green grocer;1,5;4,8;7,2;;
Groenteboer Borneo;124459;487357;85;Green grocer;1,5;4,8;7,2;;
Ugur Groenten Fruit en Levensmiddelen;117137;488125;88;Green grocer;1,5;4,8;7,2;;
Rijn Kalite Markt;122236;483943;88;Green grocer;1,5;4,8;7,2;;
Mily Tropical;123766;486027;89;Green grocer;1,5;4,8;7,2;;
V.O.F. Holthuizen AGF;124454;484744;90;Green grocer;1,5;4,8;7,2;;
Groente Specialist Overtoom;119998;486143;92;Green grocer;1,5;4,8;7,2;;
Aytac Versshop;114786;485663;93;Green grocer;1,5;4,8;7,2;;
Umut Market;117788;484798;94;Green grocer;1,5;4,8;7,2;;
Ruben's Tropical;118693;486940;100;Green grocer;1,5;4,8;7,2;;
Groentewinkel Banne;123005;491207;103;Green grocer;1,5;4,8;7,2;;
Sab di Hatti Tropische Groenten en Fruit;126704;481733;108;Green grocer;1,5;4,8;7,2;;
GreenHaven;121440;488657;114;Green grocer;1,5;4,8;7,2;;
Ruygrok V.O.F.;119628;482706;119;Green grocer;1,5;4,8;7,2;;
Aytac 03;118476;488003;129;Green grocer;1,5;4,8;7,2;;
Kumar Toko;127736;478852;129;Green grocer;1,5;4,8;7,2;;
Safa Fruits & Vegetables;119938;488469;130;Green grocer;1,5;4,8;7,2;;
La Fourchette;120326;482707;146;Green grocer;1,5;4,8;7,2;;
Karadeniz Versshop;115100;486235;148;Green grocer;1,5;4,8;7,2;;
Toko Otie Tropical Center;118693;486949;160;Green grocer;1,5;4,8;7,2;;
Versmarkt IJburg;129139;484935;250;Green grocer;1,5;4,8;7,2;;
VERSENZO Stadswinkels B.V.;121944;485245;335;Green grocer;1,5;4,8;7,2;;
AMART Eindhoven B.V.;119610;487725;0;Mini super;0,5;0,3;0,15;;
Flevo Supermarkt;124991;486490;0;Mini super;0,5;0,3;0,15;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;123941;485968;0;Mini super;0,5;0,3;0,15;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;121814;487992;0;Mini super;0,5;0,3;0,15;;
NS Stat. Ret.bdr. BV/Kiosk Westtunnel Adam C.;121799;488052;0;Mini super;0,5;0,3;0,15;;
Superfoods B.V.;122148;489345;0;Mini super;0,5;0,3;0,15;;
STACH;120104;486232;0;Mini super;0,5;0,3;0,15;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;121136;483343;0;Mini super;0,5;0,3;0,15;;
C. Janmaat, / SPAR City Kinkerstraat Amsterd.;119434;486531;0;Mini super;0,5;0,3;0,15;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;121847;487999;0;Mini super;0,5;0,3;0,15;;
Foodlovers Gare du Nord;123968;490584;0;Mini super;0,5;0,3;0,15;;
Van der Velde & Eveleens V.O.F.;121079;492444;0;Mini super;0,5;0,3;0,15;;
University Shop HvA B.V.;122482;485766;0;Mini super;0,5;0,3;0,15;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;119991;483651;0;Mini super;0,5;0,3;0,15;;
Leidseplein Market;120589;486494;15;Mini super;0,5;0,3;0,15;;
Mirna Supermarkt;121593;487328;16;Mini super;0,5;0,3;0,15;;
Molsteeg 11 V.O.F.;121173;487492;19;Mini super;0,5;0,3;0,15;;
Qmart;121626;487729;20;Mini super;0,5;0,3;0,15;;
Top-Minimarkt;121503;487699;30;Mini super;0,5;0,3;0,15;;
Kinker Supermarkt;119233;486452;30;Mini super;0,5;0,3;0,15;;
Centraal Souvenir;121243;487569;30;Mini super;0,5;0,3;0,15;;
Euro Souvenirs;121399;486677;32;Mini super;0,5;0,3;0,15;;
De Molen;121805;487418;34;Mini super;0,5;0,3;0,15;;
SH Supermarkt;121582;487187;39;Mini super;0,5;0,3;0,15;;
City In Supermarket & Souvenir;121513;487883;40;Mini super;0,5;0,3;0,15;;
V.O.F. Labes;121086;488220;40;Mini super;0,5;0,3;0,15;;
Red Alley B.V.;121632;487295;40;Mini super;0,5;0,3;0,15;;
Ivana's Souvenirs Shop minisupermarket;121900;487582;40;Mini super;0,5;0,3;0,15;;
stach food;121043;486297;41;Mini super;0,5;0,3;0,15;;
P&P Super;121727;484895;42;Mini super;0,5;0,3;0,15;;
Amsterdam Supermarkt, Tabak & Souvenirs;121519;487920;43;Mini super;0,5;0,3;0,15;;
Rustem ten Kate;119583;486606;43;Mini super;0,5;0,3;0,15;;
Eetwinkel Buurman en Buurman B.V.;118304;487633;44;Mini super;0,5;0,3;0,15;;
David's Corner;120332;482148;46;Mini super;0,5;0,3;0,15;;
Marieke Berghuis;120712;488195;47;Mini super;0,5;0,3;0,15;;
All u Need mini Supermarket B.V.;121380;487671;50;Mini super;0,5;0,3;0,15;;
De Buurman Food;121290;487693;50;Mini super;1;0,3;0,3;;
Renards B.V.;124168;486316;54;Mini super;1;0,3;0,3;;
Bobo Bazaar;121559;487019;54;Mini super;1;0,3;0,3;;
Without Worries;122793;490023;55;Mini super;1;0,3;0,3;;
Vegabond;120954;487591;55;Mini super;1;0,3;0,3;;
Kip-Lekker;118809;486428;55;Mini super;1;0,3;0,3;;
Kok op Stelten;122037;484995;55;Mini super;1;0,3;0,3;;
Fa. Hanssen;121746;486087;56;Mini super;1;0,3;0,3;;
Supermarkt Wiltzanghlaan;118502;488382;56;Mini super;1;0,3;0,3;;
Maria Supermarkt;121516;486668;57;Mini super;1;0,3;0,3;;
De Volkskruidentuin;119714;486642;60;Mini super;1;0,3;0,3;;
Amsterdam Souvenir Market;121724;487580;60;Mini super;1;0,3;0,3;;
STACH;121759;487121;60;Mini super;1;0,3;0,3;;
STACH B.V.;119105;487180;63;Mini super;1;0,3;0,3;;
STACH;121123;488285;63;Mini super;1;0,3;0,3;;
Heuft;122151;484323;63;Mini super;1;0,3;0,3;;
Super Marathon;119337;484484;70;Mini super;1;0,3;0,3;;
CCCP;118690;486232;70;Mini super;1;0,3;0,3;;
De Osdorper;121176;484430;70;Mini super;1;0,3;0,3;;
Het Lange Mes B.V.;124367;486318;72;Mini super;1;0,3;0,3;;
J.J. Ooyevaar;120776;486350;75;Mini super;1;0,3;0,3;;
Best Souvenirs;122003;487670;76;Mini super;1;0,3;0,3;;
Ah op 't Station Amsterdam CS;121819;487949;77;Mini super;1;0,3;0,3;;
STACH;118656;484914;85;Mini super;1;0,3;0,3;;
City Public Supermarkt & Souvenirs;121319;487604;86;Mini super;1;0,3;0,3;;
Friends Supermarkt en Souvenirs;120864;487458;89;Mini super;1;0,3;0,3;;
Safari Import & Export;124693;481636;94;Mini super;1;0,3;0,3;;
Geelhoed Eetwinkel B.V.;123974;487856;102;Mini super;1;0,3;0,3;;
Super West B.V.;118953;487198;103;Mini super;1;0,3;0,3;;
Sterk Waterlooplein van der Pouw Kraan V.O.F.;122006;486713;106;Mini super;1;0,3;0,3;;
NOVA Supermarkt;122715;488558;114;Mini super;1;0,3;0,3;;
Firma Oosterwaal;124967;483906;115;Mini super;1;0,3;0,3;;
De Kleine Saarlander;120958;488439;116;Mini super;1;0,3;0,3;;
Super Ruys;120788;485266;120;Mini super;1;0,3;0,3;;
De Buren op 102;118663;486420;124;Mini super;1;0,3;0,3;;
Supermarkt Amstel;121465;486672;128;Mini super;1;0,3;0,3;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;117582;489159;131;Mini super;1,5;0,3;0,45;;
Organic Food for You;119841;485371;132;Mini super;1,5;0,3;0,45;;
Oude Doelen Minimarkt;121578;487187;146;Mini super;1,5;0,3;0,45;;
NS Stat. Ret.bdr. B.V. t.h.o.d.n. Kiosk Metro;119981;483563;149;Mini super;1,5;0,3;0,45;;
V.O.F. G.J. Bleijenberg;129633;479650;155;Mini super;1,5;0,3;0,45;;
Joeline Vintage Import & Export;124480;490215;160;Mini super;1,5;0,3;0,45;;
Holland products company B.V.;123590;486172;161;Mini super;1,5;0,3;0,45;;
Bobo Market;121984;487609;177;Mini super;1,5;0,3;0,45;;
Leighton Supermarkten t.h.o.d.n. Spar;125234;485267;178;Mini super;1,5;0,3;0,45;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Hema;120008;483493;181;Mini super;1,5;0,3;0,45;;
C.C. Schrama h.o.d.n. Delicious Food;120842;488018;192;Mini super;1,5;0,3;0,45;;
Ah op 't Station Amsterdam Sloterdijk;117582;489157;203;Mini super;1,5;0,3;0,45;;
Supermarkt Villa Mokum;123200;483567;210;Mini super;1,5;0,3;0,45;;
Ah op 't Station Amsterdam Amstel;123074;484415;222;Mini super;1,5;0,3;0,45;;
AH to go Bijlmer;124461;480624;249;Mini super;1,5;0,3;0,45;;
Biotoop Osdorpplein B.V.;115326;485745;249;Mini super;1,5;0,3;0,45;;
HEMA B.V.;120767;488655;284;Mini super;1,5;0,3;0,45;;
AH to go IJhal;121893;488060;360;Mini super;1,5;0,3;0,45;;
HEMA B.V.;118551;485034;389;Mini super;1,5;0,3;0,45;;
HEMA;120192;484434;411;Mini super;1,5;0,3;0,45;;
HEMA B.V.;120202;482703;414;Mini super;1,5;0,3;0,45;;
AH to go Amsterdam zelfscan;121787;488065;452;Mini super;1,5;0,3;0,45;;
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Hema;122019;487842;484;Mini super;1,5;0,3;0,45;;
HEMA B.V.;127992;485716;516;Mini super;1,5;0,3;0,45;;
HEMA B.V.;122007;486922;772;Mini super;1,5;0,3;0,45;;
HEMA B.V.;116640;488253;816;Mini super;1,5;0,3;0,45;;
HEMA B.V.;116650;488225;816;Mini super;1,5;0,3;0,45;;
HEMA B.V.;123730;485414;850;Mini super;1,5;0,3;0,45;;
HEMA;121066;490787;852;Mini super;1,5;0,3;0,45;;
HEMA B.V.;119292;486442;1051;Mini super;1,5;0,3;0,45;;
HEMA B.V.;121193;485209;1437;Mini super;1,5;0,3;0,45;;
HEMA B.V.;115298;485819;1442;Mini super;1,5;0,3;0,45;;
HEMA B.V.;124413;490221;1560;Mini super;1,5;0,3;0,45;;
HEMA B.V.;121259;486771;1620;Mini super;1,5;0,3;0,45;;
HEMA B.V.;121433;487577;2300;Mini super;1,5;0,3;0,45;;
Tabak's notenbar;120102;486241;0;Nut store;0,5;2,2;1,1;;
De Notenshop Daamen;121965;485151;32;Nut store;0,5;2,2;1,1;;
Tabak's notenbar;118775;486380;34;Nut store;0,5;2,2;1,1;;
Hazel Noten & Zuidvruchten;119332;486489;39;Nut store;0,5;2,2;1,1;;
Naturel Noten & Turkse Koffie;117114;488130;43;Nut store;1;2,2;2,2;;
Aladdin's Noten Hoek;118511;487080;50;Nut store;1;2,2;2,2;;
Notenbar C'est Bon Specialite's B.V.;123907;485222;58;Nut store;1;2,2;2,2;;
Het Warme Notengilde Osdorpplein;115292;485836;59;Nut store;1;2,2;2,2;;
Nuts & Delights;118347;484920;75;Nut store;1,5;2,2;3,3;;
Amsterdamse Noten;118207;487852;77;Nut store;1,5;2,2;3,3;;
Noten & Mediterane delicatessen C.V.;114674;485627;90;Nut store;1,5;2,2;3,3;;
Tabak's notenbar;122206;484077;100;Nut store;1,5;2,2;3,3;;
A. van Buuren;120729;488237;28;Poulterer;0,5;0,6;0,3;;
Laura's Poelier / Traiteur;119620;482029;42;Poulterer;0,5;0,6;0,3;;
F. Jonker;121488;484490;48;Poulterer;1;0,6;0,6;;
Poelier H. Jonk V.O.F.;120997;488381;51;Poulterer;1;0,6;0,6;;
New Chicken;119549;486686;65;Poulterer;1,5;0,6;0,9;;
Poeliersbedrijf Jonk;126989;478673;80;Poulterer;1,5;0,6;0,9;;
De Aanzet;120962;485624;290;Reform shop;0,5;1;0,5;;
Vitamin Store Nederland B.V.;112429;487583;0;Reform shop;0,5;1;0,5;;
Venus Soul Shop;120614;487734;20;Reform shop;0,5;1;0,5;;
TNHC de Munt;121371;486644;37;Reform shop;0,5;1;0,5;;
Vitalpoint B.V.;121341;488118;50;Reform shop;0,5;1;0,5;;
Health Quest by Joyce;120956;486197;51;Reform shop;0,5;1;0,5;;
The Soulsister Vitamins;120373;486929;53;Reform shop;0,5;1;0,5;;
Lavendula;120837;487981;56;Reform shop;0,5;1;0,5;;
De Vitaminewinkel/Vitaminstore Gelderlandpln;120351;482669;58;Reform shop;0,5;1;0,5;;
Jacob Hooy Westerstraat B.V.;120708;487943;60;Reform shop;0,5;1;0,5;;
Unlimited Health;121575;485098;64;Reform shop;1;1;1;;
Jacob Hooy Amsterdam B.V.;121764;487232;69;Reform shop;1;1;1;;
Vitaminstore Oostpoort;123753;485533;69;Reform shop;1;1;1;;
De Glutenvrije Winkel;123534;485409;74;Reform shop;1;1;1;;
Foodsenergy B.V.;121330;487604;75;Reform shop;1;1;1;;
Vitaminstore Beethovenstraat;120256;484546;80;Reform shop;1;1;1;;
Krits;118803;485121;84;Reform shop;1;1;1;;
Strong Food;124060;486275;99;Reform shop;1;1;1;;
Weijers Gezondheidswinkel de Kruidenbox;119808;486947;100;Reform shop;1;1;1;;
Estafette Amsterdam Zuid;121003;485043;100;Reform shop;1,5;1;1,5;;
Erica;121834;487994;112;Reform shop;1,5;1;1,5;;
Estafette Amsterdam Bos en Lommer;118440;487989;140;Reform shop;1,5;1;1,5;;
Estafette Amsterdam-Westerpark;120082;487486;163;Reform shop;1,5;1;1,5;;
Estafette Amsterdam-Zeeburg;124382;487451;190;Reform shop;1,5;1;1,5;;
Vitaminstore Osdorp;115316;485777;208;Reform shop;1,5;1;1,5;;
Michel Does V.O.F.;124545;490142;210;Reform shop;1,5;1;1,5;;
Body Basics Voedingssupplementen;119842;482791;219;Reform shop;1,5;1;1,5;;
Ekodis Natuurmarkt;123079;485523;352;Reform shop;1,5;1;1,5;;
Deen IJburg;129200;485032;0;Supermarket;0,5;1,8;0,9;;
Vomar Voordeelmarkt B.V.;123614;486735;0;Supermarket;0,5;1,8;0,9;;
Lidl;123634;486150;0;Supermarket;0,5;1,8;0,9;;
Deen Mosveld;122736;489366;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;122867;489272;0;Supermarket;0,5;1,8;0,9;;
Vomar Voordeelmarkt B.V.;123427;484834;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn;120079;486219;0;Supermarket;0,5;1,8;0,9;;
AH 4107;118878;484207;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn;119342;484344;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn;121985;485094;0;Supermarket;0,5;1,8;0,9;;
Ekoplaza;121073;485924;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;122534;485439;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;118660;484889;0;Supermarket;0,5;1,8;0,9;;
Lidl;121151;492938;0;Supermarket;0,5;1,8;0,9;;
Albert Heijn;121068;488313;37;Supermarket;0,5;1,8;0,9;;
BioLicious Aalsmeerweg;118347;484896;50;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;125714;478643;60;Supermarket;0,5;1,8;0,9;;
EkoPlaza;121204;484340;80;Supermarket;0,5;1,8;0,9;;
Albert Heijn;121622;485629;83;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;121412;487556;98;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;121141;485309;105;Supermarket;0,5;1,8;0,9;;
Duinhoven h.o.d.h.n. Organic Food For You;121275;486188;119;Supermarket;0,5;1,8;0,9;;
Marqt Beethovenstraat;120249;484493;126;Supermarket;0,5;1,8;0,9;;
Biolicious Yburg;127980;485726;132;Supermarket;0,5;1,8;0,9;;
Plus Slooten+D183;123006;491208;148;Supermarket;0,5;1,8;0,9;;
Albert Heijn;119739;485212;149;Supermarket;0,5;1,8;0,9;;
EkoPlaza;119340;486310;200;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;119936;483700;204;Supermarket;0,5;1,8;0,9;;
EkoPlaza;120110;486313;225;Supermarket;0,5;1,8;0,9;;
Biolicious Oostpoort;123743;485563;235;Supermarket;0,5;1,8;0,9;;
Spar van Kempen;122179;486367;245;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;118834;488336;259;Supermarket;0,5;1,8;0,9;;
Dekamarkt;125372;489980;260;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;121406;487455;275;Supermarket;0,5;1,8;0,9;;
EkoPlaza;120037;482787;277;Supermarket;0,5;1,8;0,9;;
Gekke Gerrit Spaarndam B.V.;120433;489208;279;Supermarket;0,5;1,8;0,9;;
V.O.F. Korstanje - Nijman;122513;487067;280;Supermarket;0,5;1,8;0,9;;
Spar De Winter;114844;486166;284;Supermarket;0,5;1,8;0,9;;
EkoPlaza;120822;488569;294;Supermarket;0,5;1,8;0,9;;
Albert Heijn;120199;488537;306;Supermarket;0,5;1,8;0,9;;
Marqt Haarlemmerstraat;121128;488252;311;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;121565;487967;319;Supermarket;0,5;1,8;0,9;;
PLUS Nageljongenstraat;121741;490939;320;Supermarket;0,5;1,8;0,9;;
Marqt Linnaeusstraat;123651;485541;332;Supermarket;0,5;1,8;0,9;;
Dirk van den Broek Supermarkten;121506;487393;337;Supermarket;0,5;1,8;0,9;;
EkoPlaza van Swindenstraat;123581;486132;341;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;122019;487842;341;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;121474;484348;348;Supermarket;0,5;1,8;0,9;;
Albert Heijn;122249;484050;359;Supermarket;0,5;1,8;0,9;;
Aldi-Markt;121177;485961;399;Supermarket;0,5;1,8;0,9;;
Albert Heijn;121079;486708;400;Supermarket;0,5;1,8;0,9;;
Albert Heijn;119236;485883;400;Supermarket;0,5;1,8;0,9;;
Albert Heijn Supermarkt;123170;487001;403;Supermarket;0,5;1,8;0,9;;
Marqt B.V.;119486;484365;437;Supermarket;0,5;1,8;0,9;;
Albert Heijn B.V.;119379;486139;440;Supermarket;0,5;1,8;0,9;;
Lidl;121910;485664;444;Supermarket;0,5;1,8;0,9;;
Deen Winkels B.V.;118386;484733;454;Supermarket;0,5;1,8;0,9;;
Albert Heijn;118797;485075;456;Supermarket;1;1,8;1,8;;
Albert Heijn;121803;487313;460;Supermarket;1;1,8;1,8;;
EkoPlaza;120412;486951;473;Supermarket;1;1,8;1,8;;
Aldi-Markt;119053;482159;484;Supermarket;1;1,8;1,8;;
Albert Heijn;121281;486212;487;Supermarket;1;1,8;1,8;;
Marqt Utrechtsestraat;121675;486510;500;Supermarket;1;1,8;1,8;;
Albert Heijn B.V.;121233;485875;523;Supermarket;1;1,8;1,8;;
Supermarkt van Swindenstraat B.V.;123567;486164;530;Supermarket;1;1,8;1,8;;
Albert Heijn;120764;487960;540;Supermarket;1;1,8;1,8;;
Sean B.V.;119611;481972;541;Supermarket;1;1,8;1,8;;
Deka Supermarkten B.V.;116304;487771;550;Supermarket;1;1,8;1,8;;
Marqt Ceintuurbaan;121913;485315;553;Supermarket;1;1,8;1,8;;
Dirk van den Broek Supermarkten;120323;488420;557;Supermarket;1;1,8;1,8;;
Albert Heijn;122893;489284;560;Supermarket;1;1,8;1,8;;
Marqt Bilderdijkstraat;119836;486878;566;Supermarket;1;1,8;1,8;;
Marqt Overtoom;120311;486278;569;Supermarket;1;1,8;1,8;;
Lidl;114552;485586;586;Supermarket;1;1,8;1,8;;
Deen Niersstraat;121463;484069;587;Supermarket;1;1,8;1,8;;
Vomar;120079;486805;600;Supermarket;1;1,8;1,8;;
M.H.M. de Koning B.V.;120725;487986;600;Supermarket;1;1,8;1,8;;
Albert Heijn;123184;485301;622;Supermarket;1;1,8;1,8;;
Albert Heijn;120729;487453;627;Supermarket;1;1,8;1,8;;
Aldi Markt;125533;480788;628;Supermarket;1;1,8;1,8;;
Aldi Markt;119223;487172;630;Supermarket;1;1,8;1,8;;
Albert Heijn B.V.;123974;486220;631;Supermarket;1;1,8;1,8;;
Albert Heijn;123476;486602;663;Supermarket;1;1,8;1,8;;
Albert Heijn;117735;484702;668;Supermarket;1;1,8;1,8;;
Marqt Wolvenstraat;120806;487066;692;Supermarket;1;1,8;1,8;;
Lidl;120225;486369;698;Supermarket;1;1,8;1,8;;
Albert Heijn B.V.;121796;486032;713;Supermarket;1;1,8;1,8;;
Albert Heijn;120325;489439;714;Supermarket;1;1,8;1,8;;
Aldi-Markt;127035;480975;719;Supermarket;1;1,8;1,8;;
Haducto B.V.;120744;488679;735;Supermarket;1;1,8;1,8;;
Jumbo Supermarkten B.V.;116502;488238;735;Supermarket;1;1,8;1,8;;
Coop;121105;485237;737;Supermarket;1;1,8;1,8;;
Deen Lange Vonder;121596;492859;745;Supermarket;1;1,8;1,8;;
Aldi Markt;121040;484788;747;Supermarket;1;1,8;1,8;;
Jumbo Supermarkt;119112;484999;753;Supermarket;1;1,8;1,8;;
Aldi-Markt;125526;489502;780;Supermarket;1;1,8;1,8;;
Albert Heijn;118770;486380;799;Supermarket;1;1,8;1,8;;
Dirk van den Broek Supermarkten;122120;484450;799;Supermarket;1;1,8;1,8;;
Lidl;114849;488395;800;Supermarket;1;1,8;1,8;;
Albert Heijn;119188;487569;805;Supermarket;1;1,8;1,8;;
Albert Heijn;120282;484670;825;Supermarket;1;1,8;1,8;;
Albert Heijn;119801;486645;835;Supermarket;1;1,8;1,8;;
Supermarkt Verboom B.V.;127737;478849;835;Supermarket;1;1,8;1,8;;
Deen Rijnstraat;122208;484062;841;Supermarket;1;1,8;1,8;;
Aldimarkt;114921;486179;844;Supermarket;1;1,8;1,8;;
Dirk van den Broek Supermarkten;118256;487925;845;Supermarket;1;1,8;1,8;;
Albert Heijn;124526;486142;850;Supermarket;1;1,8;1,8;;
Albert Heijn;115731;484366;852;Supermarket;1;1,8;1,8;;
Aldi-Markt;122391;484106;858;Supermarket;1;1,8;1,8;;
Dirk van den Broek;123632;485452;885;Supermarket;1;1,8;1,8;;
EkoPlaza;121517;485638;913;Supermarket;1;1,8;1,8;;
Albert Heijn;120010;487603;931;Supermarket;1;1,8;1,8;;
Lidl;117708;484720;948;Supermarket;1;1,8;1,8;;
Albert Heijn B.V.;121214;484147;951;Supermarket;1;1,8;1,8;;
Marqt Gelderlandplein;120295;482738;953;Supermarket;1,5;1,8;2,7;;
Albert Heijn;115123;487923;954;Supermarket;1,5;1,8;2,7;;
Albert Heijn;122142;484530;960;Supermarket;1,5;1,8;2,7;;
Dirk van den Broek Supermarkten;115771;484378;963;Supermarket;1,5;1,8;2,7;;
Lidl;117451;486221;977;Supermarket;1,5;1,8;2,7;;
